ID,G_VRH
mp-862730,65.0
mp-862734,22.0
mp-862994,19.0
mp-864608,28.0
mp-864920,32.0
mp-864966,123.0
mp-865888,108.0
mp-866154,121.0
mp-867350,19.0
mp-972275,89.0
mp-975880,24.0
mp-977997,64.0
mp-1002222,109.0
mp-10187,22.0
mp-1021672,20.0
mp-1024991,26.0
mp-1025185,9.0
mp-1025338,10.0
mp-11918,63.0
mp-13682,17.0
mp-14039,18.0
mp-1495,91.0
mp-15178,75.0
mp-16528,70.0
mp-19149,68.0
mp-19281,86.0
mp-19306,64.0
mp-20469,21.0
mp-20541,102.0
mp-23247,4.0
mp-23711,33.0
mp-23804,61.0
mp-2499,20.0
mp-2652,62.0
mp-2666,33.0
mp-29633,26.0
mp-29751,2.0
mp-29803,10.0
mp-30483,13.0
mp-30822,25.0
mp-4519,40.0
mp-567456,38.0
mp-570578,48.0
mp-6988,60.0
mp-7421,22.0
mp-744,62.0
mp-753669,72.0
mp-862601,26.0
mp-863708,72.0
mp-865,86.0
mp-865441,30.0
mp-865999,12.0
mp-866174,18.0
mp-867794,43.0
mp-961700,-29.0
mp-978498,36.0
mp-999455,28.0
mvc-11152,21.0
mp-1017985,35.0
mp-12070,26.0
mp-13308,31.0
mp-14285,122.0
mp-14476,42.0
mp-1708,20.0
mp-19282,59.0
mp-21313,115.0
mp-21415,49.0
mp-2474,27.0
mp-30175,36.0
mp-30587,24.0
mp-30817,47.0
mp-33104,43.0
mp-3833,33.0
mp-4047,-7.0
mp-4384,24.0
mp-542777,64.0
mp-570229,9.0
mp-631515,-0.0
mp-675180,29.0
mp-754358,31.0
mp-862842,18.0
mp-864927,100.0
mp-864972,37.0
mp-865459,36.0
mp-866225,12.0
mp-867357,150.0
mp-971712,20.0
mp-974865,21.0
mp-976343,34.0
mp-976425,16.0
mp-982779,47.0
mp-983585,0.0
mp-999469,-72.0
mp-1018148,45.0
mp-11705,83.0
mp-12093,-6.0
mp-12097,105.0
mp-134,24.0
mp-14208,47.0
mp-14336,4.0
mp-224,20.0
mp-2331,225.0
mp-28797,64.0
mp-30670,7.0
mp-31148,25.0
mp-4429,47.0
mp-5022,77.0
mp-672388,-1353.0
mp-675734,90.0
mp-753181,43.0
mp-755920,78.0
mp-863704,20.0
mp-865662,13.0
mp-866069,58.0
mp-9400,47.0
mp-977369,25.0
mp-981530,22.0
mp-990448,78.0
mp-996971,26.0
mp-1001113,-28.0
mp-1018070,24.0
mp-1024990,125.0
mp-1025183,128.0
mp-10266,105.0
mp-1029834,75.0
mp-10712,90.0
mp-12075,74.0
mp-13090,44.0
mp-13117,28.0
mp-1439,81.0
mp-1738,47.0
mp-18918,54.0
mp-18919,36.0
mp-1941,42.0
mp-2093,17.0
mp-2123,61.0
mp-21381,17.0
mp-22598,58.0
mp-2740,36.0
mp-29496,2.0
mp-31055,81.0
mp-31205,36.0
mp-31756,75.0
mp-3405,67.0
mp-35717,30.0
mp-487,114.0
mp-530274,122.0
mp-548,64.0
mp-569848,37.0
mp-570113,21.0
mp-571211,-60.0
mp-571506,65.0
mp-7038,12.0
mp-754326,26.0
mp-862297,64.0
mp-867211,3.0
mp-867834,18.0
mp-9371,44.0
mp-961664,28.0
mp-975646,20.0
mp-978287,53.0
mp-989613,74.0
mvc-4299,46.0
mp-10142,208.0
mp-1025331,9.0
mp-10598,34.0
mp-11266,8.0
mp-11299,13.0
mp-15651,45.0
mp-19773,54.0
mp-21022,52.0
mp-22779,34.0
mp-22964,59.0
mp-2399,27.0
mp-2418,14.0
mp-2426,15.0
mp-2582,111.0
mp-29088,30.0
mp-29364,65.0
mp-29520,4.0
mp-30340,19.0
mp-30349,29.0
mp-30500,19.0
mp-3055,83.0
mp-30768,23.0
mp-30885,48.0
mp-3299,57.0
mp-349,42.0
mp-3740,40.0
mp-4611,57.0
mp-4651,102.0
mp-5072,11.0
mp-541989,18.0
mp-542791,12.0
mp-558149,2.0
mp-559998,83.0
mp-569857,9.0
mp-570673,78.0
mp-581733,48.0
mp-631302,77.0
mp-631576,54.0
mp-637576,-20.0
mp-6686,9.0
mp-754631,-165.0
mp-758052,15.0
mp-7914,70.0
mp-8022,-66.0
mp-8432,51.0
mp-865284,31.0
mp-867287,29.0
mp-867877,-2.0
mp-975896,17.0
mp-976106,57.0
mp-977363,113.0
mp-977542,17.0
mp-1008798,127.0
mp-1013713,9.0
mp-10600,33.0
mp-11270,162.0
mp-12696,20.0
mp-13903,23.0
mp-20384,44.0
mp-23267,2.0
mp-2547,15.0
mp-2553,103.0
mp-2739,35.0
mp-27638,6.0
mp-27835,3.0
mp-29556,5.0
mp-29900,45.0
mp-30656,69.0
mp-30846,32.0
mp-3211,55.0
mp-3677,104.0
mp-4227,7.0
mp-504594,6.0
mp-558059,32.0
mp-567431,10.0
mp-568792,90.0
mp-570686,16.0
mp-571247,97.0
mp-643257,8.0
mp-644264,44.0
mp-762271,-8.0
mp-810,50.0
mp-862892,20.0
mp-862918,20.0
mp-862989,21.0
mp-864607,34.0
mp-864892,9.0
mp-865050,71.0
mp-866141,146.0
mp-867128,26.0
mp-8994,11.0
mp-961688,15.0
mp-971763,-50.0
mp-976291,17.0
mp-983604,17.0
mp-989562,25.0
mp-996961,27.0
mp-1001914,27.0
mp-1025105,54.0
mp-1029349,37.0
mp-10636,21.0
mp-1076,107.0
mp-1094490,12.0
mp-11436,73.0
mp-13031,16.0
mp-15605,73.0
mp-1877,60.0
mp-19276,23.0
mp-19299,109.0
mp-1969,69.0
mp-20083,60.0
mp-21440,95.0
mp-2201,27.0
mp-2250,73.0
mp-22877,7.0
mp-27546,27.0
mp-29736,54.0
mp-30865,61.0
mp-4174,56.0
mp-4229,42.0
mp-4433,105.0
mp-495,31.0
mp-505244,14.0
mp-568711,82.0
mp-569807,7.0
mp-571461,9.0
mp-571500,77.0
mp-605860,6.0
mp-6394,38.0
mp-6459,44.0
mp-669,58.0
mp-672294,79.0
mp-680671,32.0
mp-861610,146.0
mp-862896,41.0
mp-865171,12.0
mp-865184,-1041.0
mp-865656,120.0
mp-867507,124.0
mp-867807,31.0
mp-867881,61.0
mp-9,23.0
mp-9010,6.0
mp-915,25.0
mp-9208,237.0
mp-9262,6.0
mp-972626,-11.0
mp-972845,103.0
mp-975814,-163.0
mp-977113,-5.0
mp-978290,29.0
mp-978808,31.0
mp-981234,-8.0
mp-999133,71.0
mvc-14941,27.0
mvc-5816,78.0
mp-1013546,20.0
mp-1018745,33.0
mp-1022723,60.0
mp-1023329,19.0
mp-1025358,85.0
mp-10632,32.0
mp-10667,35.0
mp-13119,19.0
mp-1383,86.0
mp-1526,49.0
mp-16053,21.0
mp-1730,18.0
mp-1866,10.0
mp-20340,67.0
mp-23499,6.0
mp-2757,13.0
mp-27579,24.0
mp-28549,58.0
mp-32539,8.0
mp-335,33.0
mp-345,82.0
mp-504711,27.0
mp-5122,16.0
mp-555599,24.0
mp-560023,28.0
mp-568544,15.0
mp-631427,-33.0
mp-631557,-307.0
mp-6754,74.0
mp-715923,101.0
mp-754223,79.0
mp-755689,13.0
mp-764163,52.0
mp-865866,17.0
mp-866314,74.0
mp-8666,8.0
mp-972541,17.0
mp-977374,8.0
mp-978088,24.0
mp-9919,26.0
mp-1001833,14.0
mp-1008753,-5.0
mp-1018743,53.0
mp-1025182,38.0
mp-1025315,14.0
mp-11023,43.0
mp-11819,20.0
mp-12599,16.0
mp-1331,32.0
mp-13313,25.0
mp-20935,65.0
mp-21124,26.0
mp-23177,5.0
mp-2647,33.0
mp-28692,17.0
mp-4763,54.0
mp-49,259.0
mp-568398,22.0
mp-568725,75.0
mp-6074,63.0
mp-644389,31.0
mp-754455,79.0
mp-7557,83.0
mp-760417,9.0
mp-7753,38.0
mp-776404,88.0
mp-8307,61.0
mp-8577,85.0
mp-862732,13.0
mp-862891,-1051.0
mp-865119,14.0
mp-865152,36.0
mp-865582,13.0
mp-865678,82.0
mp-866166,39.0
mp-867278,42.0
mp-962078,20.0
mp-973250,7.0
mp-976863,19.0
mp-982975,5.0
mp-983497,29.0
mp-9999,179.0
mp-1001843,-949.0
mp-1008561,20.0
mp-1009823,63.0
mp-1017533,85.0
mp-1018153,7.0
mp-1023319,19.0
mp-1025318,37.0
mp-1025453,42.0
mp-10738,49.0
mp-11413,52.0
mp-147,1.0
mp-15895,36.0
mp-16293,73.0
mp-1793,39.0
mp-20492,74.0
mp-20949,86.0
mp-23004,5.0
mp-2302,73.0
mp-25053,70.0
mp-2512,44.0
mp-2783,112.0
mp-2964,15.0
mp-429,63.0
mp-510657,7.0
mp-551900,30.0
mp-560671,23.0
mp-568411,20.0
mp-569974,82.0
mp-616458,7.0
mp-754,48.0
mp-755066,83.0
mp-756214,103.0
mp-760403,49.0
mp-760414,42.0
mp-861629,34.0
mp-863651,29.0
mp-864630,22.0
mp-864743,13.0
mp-864755,-4.0
mp-865003,112.0
mp-865468,20.0
mp-865533,108.0
mp-865652,105.0
mp-865728,79.0
mp-9025,44.0
mp-9664,7.0
mp-972981,2.0
mp-973004,48.0
mp-973374,13.0
mp-975333,9.0
mp-976,119.0
mp-976111,-0.0
mp-976426,53.0
mp-978542,22.0
mp-982015,20.0
mp-982388,20.0
mp-983428,22.0
mp-989608,9.0
mp-9950,17.0
mvc-2949,37.0
mp-1008835,196.0
mp-1009829,35.0
mp-1018639,87.0
mp-1021305,28.0
mp-1025123,93.0
mp-1029776,39.0
mp-1033,-20.0
mp-1039124,13.0
mp-1039154,-0.0
mp-10564,35.0
mp-1086,215.0
mp-1391,23.0
mp-18759,47.0
mp-18878,48.0
mp-19729,31.0
mp-226,135.0
mp-22673,34.0
mp-2459,17.0
mp-27606,71.0
mp-27682,20.0
mp-30443,116.0
mp-30739,28.0
mp-30788,101.0
mp-38103,14.0
mp-39105,201.0
mp-4124,22.0
mp-4419,99.0
mp-5518,18.0
mp-567695,55.0
mp-569752,26.0
mp-570466,9.0
mp-570722,2.0
mp-631333,-32.0
mp-631541,-8.0
mp-685022,19.0
mp-7364,35.0
mp-776250,69.0
mp-8566,26.0
mp-862586,173.0
mp-862750,27.0
mp-866522,23.0
mp-867260,21.0
mp-867867,1437.0
mp-893,93.0
mp-8936,10.0
mp-9244,134.0
mp-9264,5.0
mp-9382,109.0
mp-977352,26.0
mp-1017550,4.0
mp-1019359,38.0
mp-1025232,49.0
mp-1029550,30.0
mp-1104,21.0
mp-11971,44.0
mp-13829,15.0
mp-16266,42.0
mp-1635,22.0
mp-1652,55.0
mp-19118,54.0
mp-20269,16.0
mp-20632,56.0
mp-22541,6.0
mp-23280,1.0
mp-27175,59.0
mp-27296,33.0
mp-29196,19.0
mp-2979,95.0
mp-29896,65.0
mp-30004,8.0
mp-30497,32.0
mp-31182,59.0
mp-313,40.0
mp-3813,28.0
mp-46,47.0
mp-505297,66.0
mp-5186,37.0
mp-5400,40.0
mp-567948,10.0
mp-753176,22.0
mp-754434,68.0
mp-7889,50.0
mp-800,166.0
mp-8098,74.0
mp-862556,15.0
mp-867107,140.0
mp-8927,63.0
mp-9487,38.0
mp-961648,-11.0
mp-971757,1.0
mp-974625,188.0
mp-977537,58.0
mp-978272,9.0
mp-979009,29.0
mp-984721,99.0
mp-1025311,59.0
mp-12752,77.0
mp-15704,176.0
mp-19962,24.0
mp-20463,19.0
mp-20793,12.0
mp-21271,32.0
mp-22848,1.0
mp-23021,6.0
mp-24237,63.0
mp-2715,89.0
mp-28593,37.0
mp-30019,21.0
mp-30839,21.0
mp-3970,11.0
mp-4865,49.0
mp-5025,112.0
mp-5515,69.0
mp-570506,8.0
mp-570557,88.0
mp-631505,11.0
mp-634,7.0
mp-762506,54.0
mp-7882,13.0
mp-803,59.0
mp-8308,54.0
mp-862862,50.0
mp-864614,31.0
mp-865497,144.0
mp-866228,24.0
mp-871,139.0
mp-929,76.0
mp-974883,2.0
mp-980941,68.0
mp-989568,18.0
mp-1008634,24.0
mp-1009077,91.0
mp-1025116,29.0
mp-1029784,10.0
mp-10421,19.0
mp-10753,-65.0
mp-10909,139.0
mp-11752,34.0
mp-1179,70.0
mp-12764,36.0
mp-1502,39.0
mp-16263,39.0
mp-1699,103.0
mp-18971,70.0
mp-20284,-25.0
mp-22660,31.0
mp-24658,45.0
mp-2611,22.0
mp-2807,63.0
mp-2815,18.0
mp-4,10.0
mp-540572,1.0
mp-5590,48.0
mp-567982,50.0
mp-568516,20.0
mp-633538,119.0
mp-634659,0.0
mp-6916,125.0
mp-768870,13.0
mp-8013,1.0
mp-8090,41.0
mp-867227,9.0
mp-961709,8.0
mp-975651,24.0
mp-976264,-3.0
mp-976281,15.0
mp-982665,-3.0
mp-983388,1.0
mp-9983,44.0
mp-999503,57.0
mp-1007975,-42.0
mp-1017556,66.0
mp-1025053,46.0
mp-10423,18.0
mp-1101,55.0
mp-11021,65.0
mp-11250,23.0
mp-11252,30.0
mp-12382,65.0
mp-12675,32.0
mp-19817,63.0
mp-19990,13.0
mp-20064,53.0
mp-20978,12.0
mp-22996,2.0
mp-23189,1.0
mp-23231,10.0
mp-30877,6.0
mp-31277,36.0
mp-3208,44.0
mp-36111,43.0
mp-36480,53.0
mp-3689,64.0
mp-500,13.0
mp-510219,62.0
mp-53,-150.0
mp-5757,99.0
mp-638,30.0
mp-675009,24.0
mp-7041,14.0
mp-770771,81.0
mp-864674,40.0
mp-865254,24.0
mp-865742,6.0
mp-866079,17.0
mp-891,82.0
mp-9321,30.0
mp-976423,1.0
mp-982666,63.0
mp-1007761,155.0
mp-1009792,52.0
mp-1017516,-12.0
mp-1019054,193.0
mp-1025213,61.0
mp-1025312,10.0
mp-1029799,33.0
mp-11576,20.0
mp-11771,26.0
mp-12862,74.0
mp-1696,42.0
mp-1851,23.0
mp-203,34.0
mp-20768,-24.0
mp-20860,115.0
mp-2183,25.0
mp-2284,11.0
mp-23164,28.0
mp-24420,-213.0
mp-27367,5.0
mp-28395,190.0
mp-28954,8.0
mp-29809,54.0
mp-30371,22.0
mp-375,63.0
mp-3795,32.0
mp-493,104.0
mp-542812,7.0
mp-568914,4.0
mp-569028,14.0
mp-569304,89.0
mp-571143,3.0
mp-580236,18.0
mp-6098,75.0
mp-631371,55.0
mp-675626,22.0
mp-6986,125.0
mp-753156,57.0
mp-777047,44.0
mp-788,51.0
mp-8537,1.0
mp-862759,31.0
mp-864962,22.0
mp-865808,25.0
mp-865964,25.0
mp-8789,40.0
mp-8882,51.0
mp-962061,95.0
mp-974789,9.0
mp-982261,8.0
mp-996964,36.0
mp-9988,97.0
mp-999473,56.0
mp-10038,16.0
mp-1008786,32.0
mp-10118,167.0
mp-1013549,26.0
mp-1021516,4.0
mp-1259,54.0
mp-12595,134.0
mp-13277,29.0
mp-13453,37.0
mp-1385,26.0
mp-13914,94.0
mp-1542,151.0
mp-16366,8.0
mp-19968,31.0
mp-20255,77.0
mp-20987,43.0
mp-21109,29.0
mp-21854,8.0
mp-22682,30.0
mp-2285,35.0
mp-23068,15.0
mp-23956,17.0
mp-27393,13.0
mp-29502,4.0
mp-30717,-1.0
mp-3390,75.0
mp-3808,30.0
mp-5109,51.0
mp-567313,15.0
mp-569270,232.0
mp-5976,94.0
mp-604321,1.0
mp-669382,-5.0
mp-685935,136.0
mp-704645,25.0
mp-755252,37.0
mp-862697,57.0
mp-862779,176.0
mp-864965,-524.0
mp-866170,-103.0
mp-8689,36.0
mp-973269,25.0
mp-978546,41.0
mp-999069,35.0
mp-999295,18.0
mp-10044,124.0
mp-1017509,55.0
mp-1019272,149.0
mp-1024957,55.0
mp-1027890,14.0
mp-1029506,49.0
mp-12055,24.0
mp-12779,13.0
mp-13444,16.0
mp-15556,8.0
mp-16529,57.0
mp-16645,24.0
mp-1883,28.0
mp-18924,55.0
mp-19009,69.0
mp-19331,89.0
mp-19413,120.0
mp-1959,76.0
mp-19774,19.0
mp-20001,28.0
mp-2059,88.0
mp-20697,54.0
mp-21471,40.0
mp-2168,14.0
mp-22546,63.0
mp-2361,48.0
mp-24286,29.0
mp-27255,18.0
mp-2853,140.0
mp-28793,46.0
mp-29138,6.0
mp-30405,24.0
mp-31185,122.0
mp-31209,55.0
mp-3698,39.0
mp-4037,101.0
mp-5479,29.0
mp-557533,14.0
mp-567590,59.0
mp-568390,-173.0
mp-571352,48.0
mp-593,70.0
mp-622570,58.0
mp-631575,-2.0
mp-631633,64.0
mp-7275,34.0
mp-861994,24.0
mp-862367,57.0
mp-863709,202.0
mp-865759,42.0
mp-865842,122.0
mp-971928,4.0
mp-972680,41.0
mp-974708,18.0
mp-981214,10.0
mp-989544,-3.0
mp-989580,23.0
mp-1001786,36.0
mp-1009221,18.0
mp-10172,4.0
mp-1017446,62.0
mp-1025278,33.0
mp-1025325,79.0
mp-1039508,1.0
mp-10876,46.0
mp-12771,-85.0
mp-16115,53.0
mp-1697,72.0
mp-20296,27.0
mp-21065,77.0
mp-22302,107.0
mp-22313,27.0
mp-2275,3.0
mp-23313,16.0
mp-27897,12.0
mp-36209,29.0
mp-36779,55.0
mp-504886,55.0
mp-542854,38.0
mp-543024,7.0
mp-571059,19.0
mp-612740,11.0
mp-697044,20.0
mp-753298,84.0
mp-754154,41.0
mp-862629,87.0
mp-862815,7.0
mp-864938,13.0
mp-865015,25.0
mp-865172,70.0
mp-865470,12.0
mp-865994,42.0
mp-867259,27.0
mp-975997,5.0
mp-1008225,-1128.0
mp-1008498,-45.0
mp-1018023,34.0
mp-1024999,111.0
mp-10274,19.0
mp-1029378,59.0
mp-10718,9.0
mp-11400,49.0
mp-13572,72.0
mp-1476,51.0
mp-19391,50.0
mp-19438,23.0
mp-19713,39.0
mp-19799,17.0
mp-20268,69.0
mp-20557,62.0
mp-2187,45.0
mp-22087,129.0
mp-24416,-33.0
mp-2612,37.0
mp-2675,61.0
mp-28174,2.0
mp-28978,13.0
mp-30057,5.0
mp-4471,116.0
mp-510076,5.0
mp-552588,91.0
mp-569581,9.0
mp-569671,58.0
mp-570256,6.0
mp-570899,47.0
mp-573697,6.0
mp-680932,73.0
mp-690785,16.0
mp-7589,72.0
mp-762225,20.0
mp-7790,104.0
mp-8059,31.0
mp-862733,29.0
mp-9761,106.0
mp-977062,4.0
mp-980665,-31.0
mp-997041,22.0
mp-998903,72.0
mp-999059,-58.0
mp-999389,76.0
mp-1008876,16.0
mp-1016842,28.0
mp-1018054,114.0
mp-1018672,87.0
mp-10198,74.0
mp-1022116,19.0
mp-1025168,3.0
mp-11191,154.0
mp-13496,2.0
mp-1834,17.0
mp-19761,20.0
mp-20122,55.0
mp-20304,115.0
mp-21449,117.0
mp-22095,22.0
mp-22510,76.0
mp-2746,144.0
mp-27954,5.0
mp-30867,52.0
mp-379,-1.0
mp-4158,58.0
mp-505569,32.0
mp-542909,83.0
mp-567406,39.0
mp-581754,48.0
mp-639789,101.0
mp-745,-5.0
mp-8137,39.0
mp-864735,169.0
mp-865044,78.0
mp-866033,90.0
mp-866820,-46.0
mp-9636,5.0
mp-971744,61.0
mp-971933,37.0
mp-971958,20.0
mp-974866,5.0
mp-975322,42.0
mp-975578,4.0
mp-978853,65.0
mp-982511,48.0
mp-983427,8.0
mp-984049,26.0
mp-996,103.0
mp-1001824,-691.0
mp-1008525,188.0
mp-1008873,34.0
mp-1009848,45.0
mp-1018814,24.0
mp-1025236,62.0
mp-10470,112.0
mp-10810,8.0
mp-1100,8.0
mp-11533,71.0
mp-13007,61.0
mp-13811,56.0
mp-19210,59.0
mp-22216,19.0
mp-23295,8.0
mp-30494,27.0
mp-3050,102.0
mp-35591,37.0
mp-3718,33.0
mp-38970,15.0
mp-3917,34.0
mp-5549,23.0
mp-558694,27.0
mp-558781,72.0
mp-566278,82.0
mp-567366,-4.0
mp-569196,52.0
mp-582360,76.0
mp-5881,79.0
mp-631518,-5.0
mp-725,94.0
mp-753722,17.0
mp-755342,79.0
mp-8279,32.0
mp-8547,20.0
mp-862335,70.0
mp-862690,18.0
mp-8633,-81.0
mp-863705,27.0
mp-8676,16.0
mp-867795,66.0
mp-8682,99.0
mp-9385,5.0
mp-95,6.0
mp-975382,-49.0
mp-976133,133.0
mp-977385,-52.0
mp-985584,5.0
mp-998344,10.0
mp-1001913,-28.0
mp-1004526,80.0
mp-1019262,84.0
mp-1019361,32.0
mp-1025077,30.0
mp-1029457,33.0
mp-11283,111.0
mp-15236,19.0
mp-16421,45.0
mp-1840,78.0
mp-1968,37.0
mp-19835,97.0
mp-23279,3.0
mp-23736,32.0
mp-30339,32.0
mp-30449,25.0
mp-3340,98.0
mp-542757,22.0
mp-5589,46.0
mp-610,51.0
mp-615314,103.0
mp-6628,13.0
mp-753712,25.0
mp-7623,25.0
mp-769218,7.0
mp-8481,37.0
mp-863736,42.0
mp-865507,114.0
mp-865519,64.0
mp-865603,47.0
mp-867109,35.0
mp-867123,101.0
mp-867160,16.0
mp-867801,-12.0
mp-9306,35.0
mp-9567,24.0
mp-971857,-16.0
mp-972048,50.0
mp-972071,40.0
mp-972420,31.0
mp-972529,-149.0
mp-975272,4.0
mp-977362,81.0
mp-978100,15.0
mp-978911,24.0
mp-9808,12.0
mp-984785,20.0
mp-997009,25.0
mp-999508,20.0
mp-10010,96.0
mp-1009488,78.0
mp-1009820,85.0
mp-1017554,68.0
mp-1018694,59.0
mp-1023366,19.0
mp-1025067,99.0
mp-1025379,124.0
mp-1025415,50.0
mp-1039293,224.0
mp-10965,32.0
mp-12725,79.0
mp-13475,102.0
mp-13590,7.0
mp-153,18.0
mp-16043,53.0
mp-1655,96.0
mp-1823,61.0
mp-18779,19.0
mp-1898,47.0
mp-1975,135.0
mp-20711,46.0
mp-20800,44.0
mp-22396,99.0
mp-22864,23.0
mp-2297,35.0
mp-23353,8.0
mp-24155,-57.0
mp-27321,19.0
mp-2816,17.0
mp-28567,27.0
mp-31018,21.0
mp-31086,19.0
mp-3486,10.0
mp-36,22.0
mp-4073,96.0
mp-505216,81.0
mp-562102,8.0
mp-568495,41.0
mp-568671,120.0
mp-5692,67.0
mp-570510,0.0
mp-570771,32.0
mp-603640,31.0
mp-6931,38.0
mp-862667,21.0
mp-862703,26.0
mp-862843,32.0
mp-865020,99.0
mp-865325,55.0
mp-961683,-6.0
mp-975443,39.0
mp-9907,22.0
mp-9961,53.0
mp-999498,241.0
mp-10134,10.0
mp-1014303,143.0
mp-1025497,131.0
mp-1039208,5.0
mp-1039385,5.0
mp-1085,-1.0
mp-10967,23.0
mp-11580,123.0
mp-14006,22.0
mp-16364,2.0
mp-16719,74.0
mp-16734,51.0
mp-171,101.0
mp-1848,78.0
mp-18803,28.0
mp-1977,11.0
mp-20229,9.0
mp-21005,31.0
mp-30206,5.0
mp-30778,32.0
mp-477,54.0
mp-5364,33.0
mp-563,174.0
mp-568139,14.0
mp-690536,71.0
mp-753059,29.0
mp-861639,64.0
mp-862374,24.0
mp-864733,2.0
mp-865090,12.0
mp-865376,19.0
mp-865472,102.0
mp-865939,22.0
mp-9564,36.0
mp-977376,20.0
mp-977399,34.0
mp-978557,15.0
mp-989635,45.0
mp-9929,79.0
mp-998968,32.0
mp-1006146,22.0
mp-1008226,13.0
mp-1009213,1.0
mp-1018089,12.0
mp-1018644,-20.0
mp-1025301,62.0
mp-1029474,54.0
mp-11300,28.0
mp-11375,16.0
mp-11547,29.0
mp-11577,7.0
mp-11788,16.0
mp-12444,39.0
mp-1539,56.0
mp-1556,27.0
mp-159,19.0
mp-1590,144.0
mp-19257,107.0
mp-1932,91.0
mp-20714,59.0
mp-21508,29.0
mp-22795,13.0
mp-22916,12.0
mp-2313,15.0
mp-28266,58.0
mp-2831,76.0
mp-28391,0.0
mp-31219,121.0
mp-31220,10.0
mp-4876,6.0
mp-5221,89.0
mp-555359,27.0
mp-555718,23.0
mp-568106,23.0
mp-605034,10.0
mp-631532,-15.0
mp-631570,109.0
mp-6504,33.0
mp-672299,34.0
mp-753581,32.0
mp-755759,80.0
mp-7581,15.0
mp-759897,6.0
mp-7964,74.0
mp-862849,20.0
mp-865066,145.0
mp-865467,18.0
mp-865563,11.0
mp-865611,85.0
mp-865780,79.0
mp-866108,-6.0
mp-866150,29.0
mp-925,165.0
mp-961676,-30.0
mp-981391,25.0
mp-985592,-11.0
mp-993,-41.0
mp-1008926,5.0
mp-1022207,17.0
mp-1025223,86.0
mp-1025365,76.0
mp-11260,11.0
mp-11486,76.0
mp-13967,98.0
mp-14116,45.0
mp-16349,37.0
mp-18972,72.0
mp-1979,51.0
mp-21377,23.0
mp-22736,25.0
mp-23067,7.0
mp-23959,15.0
mp-2449,146.0
mp-28460,3.0
mp-29674,103.0
mp-30043,95.0
mp-30953,1.0
mp-3635,29.0
mp-4691,13.0
mp-559044,17.0
mp-568974,27.0
mp-569406,41.0
mp-603694,133.0
mp-632808,6.0
mp-645159,70.0
mp-753802,48.0
mp-8282,117.0
mp-865990,63.0
mp-867319,94.0
mp-867353,20.0
mp-867927,110.0
mp-917,19.0
mp-9251,15.0
mp-961703,-7.0
mp-972530,21.0
mp-972898,33.0
mp-975044,70.0
mp-975834,154.0
mp-977383,-3.0
mp-977390,85.0
mp-982773,8.0
mp-9948,30.0
mp-1001837,-28.0
mp-10049,68.0
mp-1009537,67.0
mp-1019541,56.0
mp-1028698,13.0
mp-1029442,53.0
mp-10521,34.0
mp-11288,11.0
mp-12875,130.0
mp-1474,137.0
mp-1546,25.0
mp-15777,19.0
mp-18198,56.0
mp-19148,24.0
mp-20708,33.0
mp-274,55.0
